window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
fiba-jFUMvm_epUE_s5410,000600,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000601,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000602,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000603,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000604,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000605,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000606,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000607,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000608,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000609,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000610,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000611,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000612,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000613,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000614,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000615,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000616,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000617,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000618,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000619,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000620,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000621,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000622,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000623,ABSENT,none,2,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000624,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000625,ABSENT,none,1,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s5410,000626,ABSENT,none,2,,,no_ball,,,,0,px,0
