window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height,join_source,ratio_x,ratio_y,ball_shift,share_per_mille_of_eligible
fiba-jFUMvm_epUE_s5410,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,detected_ball,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,player_rows,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,coordinate,detected_ball_vs_player_px,000021,,image_px_ranges,951.000,966.000,250.000,254.000,18.035,1886.740,2.933,1480.986,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,age,detected_ball_age_frames,000020,0333,age=0,,,,,,,,,1080,px,0.008027,0.002706,0,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_header,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_coordinate,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s5410,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,detected_ball,000020,0333,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,player_rows,000020,0333,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,coordinate,detected_ball_vs_player_px,000021,,image_px_ranges,264.000,465.000,2.000,500.000,18.035,1886.740,2.933,1480.986,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,age,detected_ball_age_frames,000020,0333,age=0,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s5410,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,detected_ball,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,player_rows,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,coordinate,detected_ball_vs_player_px,000021,,image_px_ranges,951.000,997.000,248.000,254.000,18.035,1886.740,2.933,1480.986,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,age,detected_ball_age_frames,000020,0333,age=0,,,,,,,,,1080,px,0.024616,0.004059,p30,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_header,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_coordinate,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s5410,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,coordinate,detected_ball_vs_player_px,000011,,image_px_ranges,951.000,960.000,252.000,254.000,18.035,1886.740,2.933,1480.986,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,age,detected_ball_age_frames,000010,0167,age=0,,,,,,,,,1080,px,0.012308,0.021650,m30,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_header,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s5410,exclusion,missing_px_coordinate,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s6740,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,exclusion,missing_px_header,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,exclusion,missing_px_coordinate,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,0,
fiba-jFUMvm_epUE_s6740,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,,,,,1080,court_map,,,0,
fiba-jFUMvm_epUE_s6740,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,exclusion,missing_px_header,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,exclusion,missing_px_coordinate,000000,0000,px_ball_rows_excluded,,,,,,,,,1080,px,,,p30,
fiba-jFUMvm_epUE_s6740,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s6740,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s6740,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s6740,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,m30,
fiba-jFUMvm_epUE_s6740,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,1080,px,,,m30,
