section_name,game_id,offset_s,pool,sport,status,finished_at,rows,decoded_frames,evaluated_frames,stride,source_fps,source_resolution,unique_frames,frame_size_source,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,eligible,ineligible_reason,selected,select_index
-5l407QKuVk_s284,-5l407QKuVk,284,G370_FRESH_POD_2026-09-10,wnba,thin,1788879951,0,,,,29.97002997002997,1920x1080,,,,,,,,,0,not_fresh,0,
-5l407QKuVk_s478,-5l407QKuVk,478,G370_FRESH_POD_2026-09-10,wnba,thin,1788879971,0,,,,29.97002997002997,1920x1080,,,,,,,,,0,not_fresh,0,
-5l407QKuVk_s90,-5l407QKuVk,90,G370_FRESH_POD_2026-09-10,wnba,thin,1788879992,0,,,,29.97002997002997,1920x1080,,,,,,,,,0,not_fresh,0,
0022400909_s1015,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788832436,6030,3995,1332,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s1206,,,G370_FRESH_POD_2026-09-10,nba,timeout,1788835090,3171,,,,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s1397,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788833740,1956,3906,1302,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s1588,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788834309,5826,3944,1315,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s1779,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788834111,4928,3935,1312,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s1970,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788835061,4371,4031,1344,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s2161,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788834697,5877,4064,1355,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s2352,,,G370_FRESH_POD_2026-09-10,nba,tracked,1788834384,5226,3911,1304,3,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
0022400909_s2400,,,G370_FRESH_POD_2026-09-10,nba,thin,1788829312,0,,,,29.97002997002997,1280x720,,,,,,,,,0,not_source_pinnable,0,
