frame,timestamp,ball_x2d,ball_y2d,detected
0,0.0,,,0
1,0.017,,,0
2,0.033,,,0
3,0.05,,,0
4,0.067,,,0
5,0.083,,,0
6,0.1,,,0
7,0.117,,,0
8,0.133,,,0
9,0.15,,,0
10,0.167,,,0
11,0.184,,,0
12,0.2,,,0
13,0.217,,,0
14,0.234,,,0
15,0.25,,,0
16,0.267,,,0
17,0.284,,,0
18,0.3,,,0
19,0.317,,,0
20,0.334,,,0
21,0.35,,,0
22,0.367,,,0
23,0.384,,,0
24,0.4,,,0
25,0.417,,,0
26,0.434,,,0
27,0.45,,,0
28,0.467,,,0
29,0.484,,,0
30,0.501,,,0
31,0.517,,,0
32,0.534,,,0
33,0.551,,,0
34,0.567,,,0
35,0.584,,,0
36,0.601,,,0
37,0.617,,,0
38,0.634,,,0
39,0.651,,,0
40,0.667,,,0
41,0.684,,,0
42,0.701,,,0
43,0.717,,,0
44,0.734,,,0
45,0.751,,,0
46,0.767,,,0
47,0.784,,,0
48,0.801,,,0
49,0.817,,,0
50,0.834,,,0
51,0.851,,,0
52,0.868,,,0
53,0.884,,,0
54,0.901,,,0
55,0.918,,,0
56,0.934,,,0
57,0.951,,,0
58,0.968,,,0
59,0.984,,,0
60,1.001,,,0
61,1.018,,,0
62,1.034,,,0
63,1.051,,,0
64,1.068,,,0
65,1.084,,,0
66,1.101,,,0
67,1.118,,,0
68,1.134,,,0
69,1.151,,,0
70,1.168,,,0
71,1.185,,,0
72,1.201,,,0
73,1.218,,,0
74,1.235,,,0
75,1.251,,,0
76,1.268,,,0
77,1.285,,,0
78,1.301,,,0
79,1.318,,,0
80,1.335,,,0
81,1.351,,,0
82,1.368,,,0
83,1.385,,,0
84,1.401,,,0
85,1.418,,,0
86,1.435,,,0
87,1.451,,,0
88,1.468,,,0
89,1.485,,,0
90,1.502,,,0
91,1.518,,,0
92,1.535,,,0
93,1.552,,,0
94,1.568,,,0
95,1.585,,,0
96,1.602,,,0
97,1.618,,,0
98,1.635,,,0
99,1.652,,,0
100,1.668,,,0
101,1.685,,,0
102,1.702,,,0
103,1.718,,,0
104,1.735,,,0
105,1.752,,,0
106,1.768,,,0
107,1.785,,,0
108,1.802,,,0
109,1.818,,,0
110,1.835,,,0
111,1.852,,,0
112,1.869,,,0
113,1.885,,,0
114,1.902,,,0
115,1.919,,,0
116,1.935,,,0
117,1.952,,,0
118,1.969,,,0
119,1.985,,,0
133,2.219,,,0
134,2.236,,,0
135,2.252,,,0
136,2.269,,,0
137,2.286,,,0
138,2.302,,,0
139,2.319,,,0
140,2.336,,,0
141,2.352,,,0
142,2.369,,,0
143,2.386,,,0
144,2.402,,,0
145,2.419,,,0
146,2.436,,,0
147,2.452,,,0
