frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,team_abbrev,player_name,homography_valid
450,15.015,1,green,947,188,0.0,0.0,0.0,corner_3,0,,,190.4,none,1928.0,767.3,253.7,0,0,,,1101.0,104.0,1295.0,275.0,,,0.0,1037.2,0.0,0,0,1,0,1.0,unclassified,0,0.0,24.0,-1.0,-1.0,-1,0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,0
450,15.015,2,green,589,326,0.0,0.0,0.0,3pt_arc,0,,,193.8,none,1928.0,767.3,253.7,0,0,,,535.0,86.0,709.0,285.0,,,0.0,685.8,0.0,0,0,1,0,1.0,unclassified,0,0.0,24.0,-1.0,-1.0,-1,0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,0
450,15.015,4,green,766,247,0.0,0.0,0.0,3pt_arc,0,,,190.4,none,1928.0,767.3,253.7,0,0,,,667.0,-15.0,1112.0,270.0,,,0.0,863.6,0.0,0,0,1,0,1.0,unclassified,0,0.0,24.0,-1.0,-1.0,-1,0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,0
453,15.115,1,green,986,186,13.02,13.02,357.1,mid_range,0,184.7,,188.2,none,2082.5,810.3,254.0,0,0,left,,1101.0,104.0,1295.0,275.0,1069.0,351.0,0.0,1068.6,-10.55,0,0,2,0,0.933,unclassified,0,0.0,23.9,-1.0,-1.0,-1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,0
453,15.115,2,green,637,329,16.03,16.03,3.6,3pt_arc,0,,,189.6,none,2082.5,810.3,254.0,0,0,left,,535.0,86.0,709.0,285.0,1069.0,351.0,0.0,715.0,-10.09,0,0,2,0,0.933,unclassified,0,0.0,23.9,-1.0,-1.0,-1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,0
453,15.115,4,green,808,247,14.0,14.0,0.0,3pt_arc,0,,,188.2,none,2082.5,810.3,254.0,0,0,left,,667.0,-15.0,1112.0,270.0,1069.0,351.0,0.0,893.9,-10.26,0,0,2,0,0.933,unclassified,0,0.0,23.9,-1.0,-1.0,-1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,0
456,15.215,1,green,986,186,0.0,-13.02,0.0,mid_range,0,184.7,,188.2,none,2082.5,810.3,254.0,0,0,left,,1101.0,104.0,1295.0,275.0,1069.0,351.0,0.0,1068.6,0.0,0,0,3,0,0.867,unclassified,0,0.0,23.8,-1.0,-1.0,-1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,0
456,15.215,2,green,637,329,0.0,-16.03,0.0,3pt_arc,0,,,189.6,none,2082.5,810.3,254.0,0,0,left,,535.0,86.0,709.0,285.0,1069.0,351.0,0.0,715.0,0.0,0,0,3,0,0.867,unclassified,0,0.0,23.8,-1.0,-1.0,-1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,0
456,15.215,4,green,808,247,0.0,-14.0,0.0,3pt_arc,0,,,188.2,none,2082.5,810.3,254.0,0,0,left,,667.0,-15.0,1112.0,270.0,1069.0,351.0,0.0,893.9,0.0,0,0,3,0,0.867,unclassified,0,0.0,23.8,-1.0,-1.0,-1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,0
459,15.315,1,green,986,186,0.0,0.0,0.0,mid_range,0,,,188.2,none,2082.5,810.3,254.0,0,0,right,,1101.0,104.0,1295.0,275.0,1872.0,331.0,803.25,1068.6,0.0,0,0,4,0,0.8,unclassified,0,0.0,23.7,-1.0,-1.0,-1,0,0.3,half_court,,,0.0,0,unknown,,,42.96251596191473,,,0
459,15.315,2,green,637,329,0.0,0.0,0.0,3pt_arc,0,,,189.6,none,2082.5,810.3,254.0,0,0,right,,535.0,86.0,709.0,285.0,1872.0,331.0,803.25,715.0,0.0,0,0,4,0,0.8,unclassified,0,0.0,23.7,-1.0,-1.0,-1,0,0.3,half_court,,,0.0,0,unknown,,,42.96251596191473,,,0
459,15.315,4,green,808,247,0.0,0.0,0.0,3pt_arc,0,,,188.2,none,2082.5,810.3,254.0,0,0,right,,667.0,-15.0,1112.0,270.0,1872.0,331.0,803.25,893.9,0.0,0,0,4,0,0.8,unclassified,0,0.0,23.7,-1.0,-1.0,-1,0,0.3,half_court,,,0.0,0,unknown,,,42.96251596191473,,,0
