window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
0022500968,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500968,stage,any_ball_row,000010,0167,full_frame_denominator,,,,,,,,,720
0022500968,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,720
0022500968,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,720
0022500968,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500968,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500968,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500968,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500968,coordinate,detected_ball_vs_player_px,000010,,image_px_ranges,86.000,1386.000,109.000,253.000,-332.190,1239.000,159.000,630.000,720
0022500968,age,detected_ball_age_frames,000010,0167,age=0,,,,,,,,,720
