P,879,8,9,white,,,,,,
P,879,9,10,white,,,,,,
P,879,10,0,referee,68.4972,523.395,211.318,584.998,2372,1620
M,879,-0.756872453883,-2.84642685526,2537.92018772,-0.129771666231,-0.498197882747,441.308979464,-0.000288776913078,-0.00113577682475,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,879,0,1,green,454,291,614,391,,
P,879,1,2,green,212,409,338,487,,
P,879,2,3,green,223,502,389,579,,
P,879,3,4,green,307,883,485,957,,
P,879,4,5,green,117,625,260,701,2368,1619
P,879,5,6,white,,,,,,
P,879,6,7,white,,,,,,
P,879,7,8,white,304.928,2048.94,464.517,2129.85,2327,1609
P,879,8,9,white,,,,,,
P,879,9,10,white,,,,,,
P,879,10,0,referee,68.4972,523.395,211.318,584.998,2372,1620
M,879,-0.756872453883,-2.84642685526,2537.92018772,-0.129771666231,-0.498197882747,441.308979464,-0.000288776913078,-0.00113577682475,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,879,0,1,green,454,291,614,391,,
P,879,1,2,green,212,409,338,487,,
P,879,2,3,green,223,502,389,579,,
P,879,3,4,green,307,883,485,957,,
P,879,4,5,green,117,625,260,701,2368,1619
P,879,5,6,white,,,,,,
P,879,6,7,white,,,,,,
P,879,7,8,white,304.928,2048.94,464.517,2129.85,2327,1609
P,879,8,9,white,,,,,,
P,879,9,10,white,,,,,,
P,879,10,0,referee,68.4972,523.395,211.318,584.998,2372,1620
B,885,0,1,green,454,291,614,391,,
B,885,1,2,green,212,409,338,487,,
B,885,2,3,green,223,502,389,579,,
B,885,3,4,green,307,883,485,957,,
B,885,4,5,green,117,625,260,701,,
B,885,5,6,white,,,,,,
B,885,6,7,white,,,,,,
B,885,7,8,white,304.928,2048.94,464.517,2129.85,,
B,885,8,9,white,,,,,,
B,885,9,10,white,,,,,,
B,885,10,0,referee,68.4972,523.395,211.318,584.998,,
B,885,0,1,green,454,291,614,391,,
B,885,1,2,green,212,409,338,487,,
B,885,2,3,green,223,502,389,579,,
B,885,3,4,green,307,883,485,957,,
B,885,4,5,green,117,625,260,701,,
B,885,5,6,white,,,,,,
B,885,6,7,white,,,,,,
B,885,7,8,white,304.928,2048.94,464.517,2129.85,,
B,885,8,9,white,,,,,,
B,885,9,10,white,,,,,,
B,885,10,0,referee,68.4972,523.395,211.318,584.998,,
B,885,0,1,green,454,291,614,391,,
B,885,1,2,green,212,409,338,487,,
B,885,2,3,green,223,502,389,579,,
B,885,3,4,green,307,883,485,957,,
B,885,4,5,green,117,625,260,701,,
B,885,5,6,white,,,,,,
B,885,6,7,white,,,,,,
B,885,7,8,white,304.928,2048.94,464.517,2129.85,,
B,885,8,9,white,,,,,,
B,885,9,10,white,,,,,,
B,885,10,0,referee,68.4972,523.395,211.318,584.998,,
B,885,0,1,green,454,291,614,391,,
B,885,1,2,green,212,409,338,487,,
B,885,2,3,green,223,502,389,579,,
B,885,3,4,green,307,883,485,957,,
B,885,4,5,green,117,625,260,701,,
B,885,5,6,white,,,,,,
B,885,6,7,white,,,,,,
B,885,7,8,white,304.928,2048.94,464.517,2129.85,,
B,885,8,9,white,,,,,,
B,885,9,10,white,,,,,,
B,885,10,0,referee,68.4972,523.395,211.318,584.998,,
