M,2990,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2990,0,1,green,228,190,516,337,,
P,2990,1,2,green,463.54,1046.06,703.761,1183.63,,
P,2990,2,3,green,264.02,524.571,542.909,717.954,389,851
P,2990,3,4,green,261,535,534,690,,
P,2990,4,5,green,192.757,51.6567,497.066,168.361,133,569
P,2990,5,6,white,216,159,516,277,,
P,2990,6,7,white,112,141,520,258,,
P,2990,7,8,white,223,116,515,240,,
P,2990,8,9,white,102,109,517,242,201,571
P,2990,9,10,white,258,547,518,657,241,876
P,2990,10,0,referee,,,,,,
M,2990,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2990,0,1,green,228,190,516,337,,
P,2990,1,2,green,463.54,1046.06,703.761,1183.63,,
P,2990,2,3,green,264.02,524.571,542.909,717.954,389,851
P,2990,3,4,green,261,535,534,690,,
P,2990,4,5,green,192.757,51.6567,497.066,168.361,133,569
P,2990,5,6,white,216,159,516,277,,
P,2990,6,7,white,112,141,520,258,,
P,2990,7,8,white,223,116,515,240,,
P,2990,8,9,white,102,109,517,242,201,571
P,2990,9,10,white,258,547,518,657,241,876
P,2990,10,0,referee,,,,,,
M,2990,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2990,0,1,green,228,190,516,337,,
P,2990,1,2,green,463.54,1046.06,703.761,1183.63,,
P,2990,2,3,green,264.02,524.571,542.909,717.954,389,851
P,2990,3,4,green,261,535,534,690,,
P,2990,4,5,green,192.757,51.6567,497.066,168.361,133,569
P,2990,5,6,white,216,159,516,277,,
P,2990,6,7,white,112,141,520,258,,
P,2990,7,8,white,223,116,515,240,,
P,2990,8,9,white,102,109,517,242,201,571
P,2990,9,10,white,258,547,518,657,241,876
P,2990,10,0,referee,,,,,,
B,2993,0,1,green,228,190,516,337,,
B,2993,1,2,green,463.54,1046.06,703.761,1183.63,,
B,2993,2,3,green,264.02,524.571,542.909,717.954,,
B,2993,3,4,green,261,535,534,690,,
B,2993,4,5,green,192.757,51.6567,497.066,168.361,,
B,2993,5,6,white,216,159,516,277,,
B,2993,6,7,white,112,141,520,258,,
B,2993,7,8,white,223,116,515,240,,
B,2993,8,9,white,102,109,517,242,,
B,2993,9,10,white,258,547,518,657,,
B,2993,10,0,referee,,,,,,
B,2993,0,1,green,228,190,516,337,,
B,2993,1,2,green,463.54,1046.06,703.761,1183.63,,
B,2993,2,3,green,264.02,524.571,542.909,717.954,,
B,2993,3,4,green,261,535,534,690,,
B,2993,4,5,green,192.757,51.6567,497.066,168.361,,
B,2993,5,6,white,216,159,516,277,,
B,2993,6,7,white,112,141,520,258,,
B,2993,7,8,white,223,116,515,240,,
B,2993,8,9,white,102,109,517,242,,
B,2993,9,10,white,258,547,518,657,,
B,2993,10,0,referee,,,,,,
B,2993,0,1,green,228,190,516,337,,
B,2993,1,2,green,463.54,1046.06,703.761,1183.63,,
B,2993,2,3,green,264.02,524.571,542.909,717.954,,
B,2993,3,4,green,261,535,534,690,,
B,2993,4,5,green,192.757,51.6567,497.066,168.361,,
B,2993,5,6,white,216,159,516,277,,
B,2993,6,7,white,112,141,520,258,,
B,2993,7,8,white,223,116,515,240,,
B,2993,8,9,white,102,109,517,242,,
B,2993,9,10,white,258,547,518,657,,
B,2993,10,0,referee,,,,,,
B,2993,0,1,green,228,190,516,337,,
B,2993,1,2,green,463.54,1046.06,703.761,1183.63,,
B,2993,2,3,green,264.02,524.571,542.909,717.954,,
B,2993,3,4,green,261,535,534,690,,
B,2993,4,5,green,192.757,51.6567,497.066,168.361,,
B,2993,5,6,white,216,159,516,277,,
B,2993,6,7,white,112,141,520,258,,
B,2993,7,8,white,223,116,515,240,,
B,2993,8,9,white,102,109,517,242,,
B,2993,9,10,white,258,547,518,657,,
B,2993,10,0,referee,,,,,,
M,2993,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2993,0,1,green,228,190,516,337,,
P,2993,1,2,green,468.285,1060.67,708.505,1198.24,,
P,2993,2,3,green,263.891,532.032,542.78,725.414,391,859
P,2993,3,4,green,261,535,534,690,,
P,2993,4,5,green,188.778,40.5171,493.088,157.221,120,569
P,2993,5,6,white,216,159,516,277,,
P,2993,6,7,white,112,141,520,258,,
P,2993,7,8,white,223,116,515,240,,
P,2993,8,9,white,102,109,517,242,201,571
P,2993,9,10,white,258,547,518,657,241,876
P,2993,10,0,referee,,,,,,
M,2993,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2993,0,1,green,228,190,516,337,,
P,2993,1,2,green,468.285,1060.67,708.505,1198.24,,
P,2993,2,3,green,263.891,532.032,542.78,725.414,391,859
P,2993,3,4,green,261,535,534,690,,
P,2993,4,5,green,188.778,40.5171,493.088,157.221,120,569
P,2993,5,6,white,216,159,516,277,,
P,2993,6,7,white,112,141,520,258,,
P,2993,7,8,white,223,116,515,240,,
P,2993,8,9,white,102,109,517,242,201,571
P,2993,9,10,white,258,547,518,657,241,876
P,2993,10,0,referee,,,,,,
M,2993,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2993,0,1,green,228,190,516,337,,
P,2993,1,2,green,468.285,1060.67,708.505,1198.24,,
P,2993,2,3,green,263.891,532.032,542.78,725.414,391,859
P,2993,3,4,green,261,535,534,690,,
P,2993,4,5,green,188.778,40.5171,493.088,157.221,120,569
P,2993,5,6,white,216,159,516,277,,
P,2993,6,7,white,112,141,520,258,,
P,2993,7,8,white,223,116,515,240,,
P,2993,8,9,white,102,109,517,242,201,571
P,2993,9,10,white,258,547,518,657,241,876
P,2993,10,0,referee,,,,,,
M,2993,-0.914548036667,1.79706306308,17.9918316144,-0.0498804253516,-0.18301181761,206.900275046,-0.000837202010792,-0.000119429689423,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1920,1020,3404,1711
P,2993,0,1,green,228,190,516,337,,
P,2993,1,2,green,468.285,1060.67,708.505,1198.24,,
P,2993,2,3,green,263.891,532.032,542.78,725.414,391,859
P,2993,3,4,green,261,535,534,690,,
P,2993,4,5,green,188.778,40.5171,493.088,157.221,120,569
P,2993,5,6,white,216,159,516,277,,
P,2993,6,7,white,112,141,520,258,,
P,2993,7,8,white,223,116,515,240,,
P,2993,8,9,white,102,109,517,242,201,571
P,2993,9,10,white,258,547,518,657,241,876
P,2993,10,0,referee,,,,,,
