game,n_ticks,record_type,date,timestamp_start,timestamp_end,outcome,e4_brier,ladder_base_brier,arm,nominal,cell,group_id,n_games,folds,mean_probability,observed_frequency,mean_lo,mean_hi,covered
401703391,283,sample_game,,,,,,,,,,,,,,,,,
401703423,274,sample_game,,,,,,,,,,,,,,,,,
401704631,391,sample_game,,,,,,,,,,,,,,,,,
401704653,286,sample_game,,,,,,,,,,,,,,,,,
401704685,298,sample_game,,,,,,,,,,,,,,,,,
401704688,269,sample_game,,,,,,,,,,,,,,,,,
401704689,291,sample_game,,,,,,,,,,,,,,,,,
401704694,281,sample_game,,,,,,,,,,,,,,,,,
401704697,594,sample_game,,,,,,,,,,,,,,,,,
401704699,474,sample_game,,,,,,,,,,,,,,,,,
401704700,478,sample_game,,,,,,,,,,,,,,,,,
401704701,864,sample_game,,,,,,,,,,,,,,,,,
401704704,418,sample_game,,,,,,,,,,,,,,,,,
401704787,261,sample_game,,,,,,,,,,,,,,,,,
401704793,249,sample_game,,,,,,,,,,,,,,,,,
401704795,301,sample_game,,,,,,,,,,,,,,,,,
401704822,262,sample_game,,,,,,,,,,,,,,,,,
401704832,255,sample_game,,,,,,,,,,,,,,,,,
401704872,269,sample_game,,,,,,,,,,,,,,,,,
401704873,267,sample_game,,,,,,,,,,,,,,,,,
401704876,296,sample_game,,,,,,,,,,,,,,,,,
401704878,265,sample_game,,,,,,,,,,,,,,,,,
401704893,255,sample_game,,,,,,,,,,,,,,,,,
401704900,304,sample_game,,,,,,,,,,,,,,,,,
401704901,270,sample_game,,,,,,,,,,,,,,,,,
401704906,268,sample_game,,,,,,,,,,,,,,,,,
401704917,265,sample_game,,,,,,,,,,,,,,,,,
401704919,267,sample_game,,,,,,,,,,,,,,,,,
401704922,268,sample_game,,,,,,,,,,,,,,,,,
401704923,262,sample_game,,,,,,,,,,,,,,,,,
401704925,265,sample_game,,,,,,,,,,,,,,,,,
401704958,282,sample_game,,,,,,,,,,,,,,,,,
401704962,279,sample_game,,,,,,,,,,,,,,,,,
401704964,246,sample_game,,,,,,,,,,,,,,,,,
401704965,272,sample_game,,,,,,,,,,,,,,,,,
401704967,282,sample_game,,,,,,,,,,,,,,,,,
401704978,272,sample_game,,,,,,,,,,,,,,,,,
401704987,276,sample_game,,,,,,,,,,,,,,,,,
401704992,272,sample_game,,,,,,,,,,,,,,,,,
401704993,255,sample_game,,,,,,,,,,,,,,,,,
401705000,280,sample_game,,,,,,,,,,,,,,,,,
401705003,264,sample_game,,,,,,,,,,,,,,,,,
401705006,254,sample_game,,,,,,,,,,,,,,,,,
401705012,276,sample_game,,,,,,,,,,,,,,,,,
401705013,294,sample_game,,,,,,,,,,,,,,,,,
401705021,264,sample_game,,,,,,,,,,,,,,,,,
401705022,259,sample_game,,,,,,,,,,,,,,,,,
401705028,273,sample_game,,,,,,,,,,,,,,,,,
401705030,292,sample_game,,,,,,,,,,,,,,,,,
401705032,257,sample_game,,,,,,,,,,,,,,,,,
401705039,284,sample_game,,,,,,,,,,,,,,,,,
401705046,277,sample_game,,,,,,,,,,,,,,,,,
401705055,295,sample_game,,,,,,,,,,,,,,,,,
401705061,280,sample_game,,,,,,,,,,,,,,,,,
401705068,289,sample_game,,,,,,,,,,,,,,,,,
401705074,267,sample_game,,,,,,,,,,,,,,,,,
401705086,296,sample_game,,,,,,,,,,,,,,,,,
401705091,280,sample_game,,,,,,,,,,,,,,,,,
401705095,259,sample_game,,,,,,,,,,,,,,,,,
401705105,281,sample_game,,,,,,,,,,,,,,,,,
401705108,288,sample_game,,,,,,,,,,,,,,,,,
401705110,303,sample_game,,,,,,,,,,,,,,,,,
401705112,289,sample_game,,,,,,,,,,,,,,,,,
401705118,260,sample_game,,,,,,,,,,,,,,,,,
401705119,251,sample_game,,,,,,,,,,,,,,,,,
401705126,258,sample_game,,,,,,,,,,,,,,,,,
401705129,274,sample_game,,,,,,,,,,,,,,,,,
401705133,273,sample_game,,,,,,,,,,,,,,,,,
401705138,274,sample_game,,,,,,,,,,,,,,,,,
401705142,294,sample_game,,,,,,,,,,,,,,,,,
401705144,253,sample_game,,,,,,,,,,,,,,,,,
401705145,280,sample_game,,,,,,,,,,,,,,,,,
401705147,302,sample_game,,,,,,,,,,,,,,,,,
401705159,266,sample_game,,,,,,,,,,,,,,,,,
