frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
21,0.35,2,green,3048,662,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,580,180,782,458,,,0.0,280.3,0.0,0,0,22,0,1.0
21,0.35,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,620.1,none,266860.5,3026.2,628.0,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,22,0,1.0
21,0.35,4,green,3335,633,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,790,184,994,460,,,0.0,237.9,0.0,0,0,22,0,1.0
22,0.367,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,574.5,none,266860.5,3026.2,628.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,23,0,1.0
22,0.367,2,green,3048,662,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,580,180,782,458,,,0.0,280.3,0.0,0,0,23,0,1.0
22,0.367,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,620.1,none,266860.5,3026.2,628.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,23,0,1.0
22,0.367,4,green,3335,633,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,23,0,1.0
23,0.384,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,574.5,none,266860.5,3026.2,628.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,24,0,1.0
23,0.384,2,green,3048,662,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,580,180,782,458,,,0.0,280.3,0.0,0,0,24,0,1.0
23,0.384,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,620.1,none,266860.5,3026.2,628.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,24,0,1.0
23,0.384,4,green,3335,633,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,24,0,1.0
24,0.4,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,25,0,1.0
24,0.4,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,367786.5,3031.6,770.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,25,0,1.0
24,0.4,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,25,0,1.0
24,0.4,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,25,0,1.0
24,0.4,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,732,183,1205,463,,,0.0,231.0,0.0,0,0,25,0,1.0
25,0.417,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,26,0,1.0
25,0.417,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,367786.5,3031.6,770.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,26,0,1.0
25,0.417,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,26,0,1.0
